title,authors,year,doi,abstract,venue,url,source_db
Leveraging Graph Neural Networks for MIC Prediction in Antimicrobial Resistance Studies,Zonghan Zhang; Ramyasri Veerapaneni; Moses Ayoola; Athish Ram Das; Zhiqian Chen; Bindu Nanduri; Mahalingam Ramkumar,2024,10.1109/EMBC53108.2024.10782350,"Antimicrobial resistance (AMR) poses a significant challenge in healthcare and public health, with organisms such as nontyphoidal Salmonella leading the way due to their escalating resistance to antimicrobial agents. This situation severely complicates the management and containment of diseases, highlighting the urgent need for more effective techniques to assess antimicrobial susceptibility. Conventional methods, including the broth microdilution technique for determining Minimum Inhibitory Concentrations (MICs), are time-consuming and require extensive manual effort. The advent of machine learning (ML) technologies offers a revolutionary approach to predicting MICs, thereby potentially increasing the efficacy of antimicrobial therapies. This paper explores the latest advancements in ML for MIC prediction, focusing on an innovative approach using Graph Neural Networks (GNNs), which could provide a novel insight into the correlation between gene fragment similarities and MIC values. Within this paper, we introduce the K-mer GNN, a novel GNN model designed for MIC prediction. The K-mer GNN model distinctively identifies and incorporates the similarities among k-mers, integrating these insights into GNN alongside k-mer features. This approach not only elevates the precision of MIC predictions but also sheds light on the genomic factors at the k-mer level that drive antimicrobial resistance.",2024 46th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),https://ieeexplore.ieee.org/document/10782350/,ieee
Detection of pre-mRNA involved in abnormal splicing using Graph Neural Network and Nearest Correlation Method,Yuna Tahashi; Rikumo Ode; Koichi Fujiwara; Jun-Ichi Takeda; Kinji Ohno,2024,10.1109/EMBC53108.2024.10782054,"Background: DNA is the building block of genetic information, and is composed of alternating sequences of exons with genetic information and introns without no genetic information. DNA is damaged by normal metabolic activities and environmental factors, causing base substitutions. Changes at the single nucleotide level are called Single Nucleotide Variants (SNVs), which usually result in mRNAs that are non-pathogenic or produce harmless proteins by splicing. However, when pathogenic SNVs are present in DNA, abnormal RNA splicing may cause transcription and translation of the wrong genetic information, resulting in genetic diseases such as cancer. Methods: We proposed a new method for detecting pre-mRNA with SNVs that cause abnormal RNA splicing, which utilizes a Graph Neural Network (GNN) and the Nearest Correlation (NC) method which is a similarity measure based on the correlation among multiple inputs. In the proposed method, multiple features were extracted from target sequences and their similarities are calculated by means of the NC method. A GNN model is trained from a graph constructed based on the similarities among the sequences and used as input of LightGBM in order to classify pre-mRNA with SNVs. Results: The specificity, recall, G-mean, ROC-AUC (area under the ROC curve), and PR-AUC (area under the PR curve) of the proposed method were 0.73±0.080, 0.69±0.13, 0.71±0.073, 0.76±0.062, and 0.42±0.10. Conclusion: The proposed method will contribute to preventing misjudgment of the disease and lead to the selection of the correct treatment in the future.",2024 46th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),https://ieeexplore.ieee.org/document/10782054/,ieee
Enhancing Recommender Systems Performance using Knowledge Graph Embedding with Graph Neural Networks,Mingye Wang; Xiaohui Hu; Yao Du,2024,10.1109/NNICE61279.2024.10499064,"Recommender systems are a crucial component in personalized information retrieval, with their performance directly impacting user experience. However, traditional recommender systems often suffer from limitations in handling complex user-item interactions. Recently, knowledge graphs have emerged as valuable resources for enhancing recommendation effectiveness by capturing and utilizing a wide range of information. In this work, we propose a novel Auto-encoder-based structure integrated with Graph Neural Networks (GNN) layers for Knowledge Graph Embedding (KGE) tasks. This model effectively captures and leverages the rich information in knowledge graphs. Further, we combine this advanced GNN-based knowledge graph embedding model and a preference propagation mechanism inspired by RippleNet, to introduce a novel model, GraphRipple, aiming to enhance the recommendation performance. Extensive experiments on multiple datasets demonstrate the effectiveness of GraphRipple in improving recommendation quality.","2024 4th International Conference on Neural Networks, Information and Communication Engineering (NNICE)",https://ieeexplore.ieee.org/document/10499064/,ieee
Graph Sampling for Scalable and Expressive Graph Neural Networks on Homophilic Graphs,Haolin Li; Haoyu Wang; Luana Ruiz,2025,10.23919/EUSIPCO63237.2025.11226303,"Graph Neural Networks (GNNs) excel in many graph machine learning tasks but face challenges when scaling to large networks. GNN transferability allows training on smaller graphs and applying the model to larger ones, but existing methods often rely on random subsampling, leading to disconnected subgraphs and reduced model expressivity. We propose a novel graph sampling algorithm that leverages feature homophily to preserve graph structure. By minimizing the trace of the data correlation matrix, our method better preserves the graph Laplacian trace-a proxy for the graph connectivity-than random sampling, while achieving lower complexity than spectral methods. Experiments on citation networks show improved performance in preserving Laplacian trace and GNN transferability compared to random sampling.",2025 33rd European Signal Processing Conference (EUSIPCO),https://ieeexplore.ieee.org/document/11226303/,ieee
DGE-ASR: Two-view Graph Neural Networks for Knowledge Graph Completion,Xiangxu Kong; Fangru Hu; Yichen Song; Xing Wang,2024,10.1109/ICAIRC64177.2024.10900328,"Knowledge graph completion aims to address knowledge gaps caused by difficulties in collecting real-world facts. This paper proposes a novel dual-view graph neural network model, DGE-ASR, which designs a dual isomorphic graph attention encoder. It separately constructs isomorphic graphs centered on entity nodes and relation nodes, and then aggregates important neighbor information on both graphs using graph attention networks. Although the node types in the two graphs differ, modeling the entity and relation perspectives separately captures the heterogeneity of the knowledge graph to some extent. During the encoding phase, quaternion operations are used to enhance the GNN layers, effectively modeling the complex interactions between entities and relations, as well as between relations and entities. Additionally, skip connections and residual connections are designed to mitigate the issues of oversmoothing and gradient vanishing in graph neural networks. Experimental results on six datasets (FB15K-237, CoDEx, LitWD1K) show that DGE-ASR outperforms existing GNN- based models and tensor decomposition methods.","2024 4th International Conference on Artificial Intelligence, Robotics, and Communication (ICAIRC)",https://ieeexplore.ieee.org/document/10900328/,ieee
Graph Neural Networks for Graph Drawing,Matteo Tiezzi; Gabriele Ciravegna; Marco Gori,2024,10.1109/TNNLS.2022.3184967,"Graph drawing techniques have been developed in the last few years with the purpose of producing esthetically pleasing node-link layouts. Recently, the employment of differentiable loss functions has paved the road to the massive usage of gradient descent and related optimization algorithms. In this article, we propose a novel framework for the development of Graph Neural Drawers (GNDs), machines that rely on neural computation for constructing efficient and complex maps. GND is Graph Neural Networks (GNNs) whose learning process can be driven by any provided loss function, such as the ones commonly employed in Graph Drawing. Moreover, we prove that this mechanism can be guided by loss functions computed by means of feedforward neural networks, on the basis of supervision hints that express beauty properties, like the minimization of crossing edges. In this context, we show that GNNs can nicely be enriched by positional features to deal also with unlabeled vertexes. We provide a proof-of-concept by constructing a loss function for the edge crossing and provide quantitative and qualitative comparisons among different GNN models working under the proposed framework.",IEEE Transactions on Neural Networks and Learning Systems,https://ieeexplore.ieee.org/document/9810169/,ieee
Novel Alzheimer’s Disease Stating Based on Comorbidities-Informed Graph Neural Networks,Ferial Abuhantash; Mohd Khalil Abu Hantash; Roy Welsch; Mohamed Lamine Seghier; Leontios Hadjileontiadis; Aamna Al Shehhi,2024,10.1109/EMBC53108.2024.10781747,"Alzheimer’s Disease (AD), the most prevalent form of dementia, requires early prediction for timely intervention. Leveraging data from the Alzheimer’s Disease Neuroimaging Initiative (ADNI), our study employs Graph Neural Networks (GNNs) for multi-class AD classification. Initial steps involve creating a patient-clinical graph network considering latent relationships among cognitive normal (CN), mild cognitive impairment (MCI), and AD patients, followed by training several GNN-based techniques for building prediction models. Incorporating comorbidity data from electronic health records into the feature set yielded the most effective classification results. Notably, the GNN model with attention mechanisms outperforms state-of-the-art techniques in multi-class AD classification, achieving an accuracy = 0.92 [0.91,0.94], AUC = 0.96 [0.95,0.96], and F1-score = 0.92 [0.91,0.94]. This work highlights comorbidity data’s impact on AD classification and suggests its potential to deepen disease understanding.",2024 46th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),https://ieeexplore.ieee.org/document/10781747/,ieee
Improving Traffic Density Forecasting in Intelligent Transportation Systems Using Gated Graph Neural Networks,Razib Hayat Khan; Jonayet Miah; S M Yasir Arafat; M M Mahbubul Syeed; Duc M Ca,2023,10.1109/IIT59782.2023.10366426,"This study delves into the application of Graph Neural Networks (GNNs) in the realm of traffic forecasting, a crucial facet of intelligent transportation systems. Accurate traffic predictions are vital for functions like trip planning, traffic control, and vehicle routing in such systems. Three prominent GNN architectures—Graph Convolutional Networks (GCNs), GraphSAGE (Graph Sample and Aggregation), and Gated Graph Neural Networks (GGNNs)—are explored within the context of traffic prediction. Each architecture’s methodology is thoroughly examined, including layer configurations, activation functions, and hyperparameters. The primary goal is to minimize prediction errors, with GGNNs emerging as the most effective choice among the three models. The research outlines outcomes for each architecture, elucidating their ability to anticipate using Mean Absolute Error (MAE) and Root Mean Squared Error (RMSE)). Hypothetical results reveal intriguing insights: GCNs display an RMSE of 9.10 and an MAE of 8.00, while GraphSAGE shows improvement with an RMSE of 8.3 and an MAE of 7.5. Gated Graph Neural Networks (GGNNs) exhibit the lowest RMSE at 9.15 and an impressive MAE of 7.1, positioning them as the frontrunner. However, the study acknowledges result variability, emphasizing the influence of factors like dataset characteristics, graph structure, feature engineering, and hyperparameter tuning.",2023 15th International Conference on Innovations in Information Technology (IIT),https://ieeexplore.ieee.org/document/10366426/,ieee
Decoding Visual Perception from EEG Using Explainable Graph Neural Network,Chin-Wei Huang; Chien-Hui Su; Po-Chih Kuo,2024,10.1109/EMBC53108.2024.10782730,"Brain decoding is an emerging area in the fields of neuroscience and machine learning. The goal of decoding is to utilize measured brain activity to understand the thoughts or sensations of individuals. In the fields of computer vision and machine learning, Graph Neural Networks (GNNs) have demonstrated considerable success. Furthermore, the integration of attention mechanisms in these networks provides a pathway for improved model explainability. This study employs GNNs in the analysis of electroencephalography (EEG), aiming to explore how our brain handles visual information and uncover functional brain networks. We utilize GNNExplainer, a tool designed for GNN interpretation, to pinpoint critical EEG channels and their interconnections relevant to visual EEG tasks. Our findings, which align with existing neuroscience literature, underscore the significance of specific channels. This implies that GNNs have the capability to provide valuable insights within the field of neuroscience research.",2024 46th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),https://ieeexplore.ieee.org/document/10782730/,ieee
NoiseVis: A Visualized Robustness Analysis System for Heterogeneous Graph Neural Networks,Zhiwen He; Lihua Zhou,2026,10.1109/NNICE68970.2026.11465566,"Heterogeneous Graph Neural Networks (HGNNs) have garnered significant attention in recent years as an effective approach for heterogeneous graph representation learning. However, existing HGNNs typically assume that training data is independent and identically distributed (i.i.d.), without considering the impact of noise interference and distribution shifts, limiting their robustness in practical applications. In this work, we develop a visualization system called NoiseVis, which integrates multiple heterogeneous graph representation learning models, aimed at exploring the robustness of different models against noise interference. Through this system, users can intuitively assess the performance degradation of different models under various noise conditions and select the most suitable model for real-world applications.","2026 6th International Conference on Neural Networks, Information and Communication Engineering (NNICE)",https://ieeexplore.ieee.org/document/11465566/,ieee
