record_id,title,doi,url,year,venue,source_db,abstract
77,Sustainable food security decision-making An agent-based modelling approach.,10.1016/j.jclepro.2020.120296,https://openalex.org/W3003930966,2020,Journal of Cleaner Production,openalex,
78,An evolutionary analysis of green finance sustainability based on multi-agent game,10.1016/j.jclepro.2020.121799,https://openalex.org/W3024629478,2020,Journal of Cleaner Production,openalex,
79,Energy security in community energy systems An agent-based modelling approach,10.1016/j.jclepro.2022.132765,https://openalex.org/W4283652060,2022,Journal of Cleaner Production,openalex,"In community energy systems, the energy demand of a group of households is met by collectively generated electricity and heat from renewable energy sources. What makes these systems unique is their collective and collaborative form of organization and their distributed energy generation. While these features are crucial to the resilience of these systems and are beneficial for the sustainable energy transition in general, they may at the same time undermine the security of energy within these systems. This paper takes a comprehensive view of the energy security of community energy systems by considering dimensions such as energy price, environment and availability, which are all impacted by decentralized and collective means of energy generation and distribution. The study analyses community energy systems' technical and institutional characteristics that influence their energy security. An agent-based modelling approach is used for the first time to study energy security, focusing on thermal energy communities given the considerable share of thermal energy applications such as heating, cooling, and hot tap water. The simulation results articulate that energy communities are capable of contributing to the energy security of individual households. Results demonstrated the substantial potential of energy communities in CO2 emissions reduction (60% on average) while being affordable in the long run. In addition, the results show the importance of project leadership (particularly regarding the municipality) concerning energy security performances. Finally, the results reveal that the amount of available subsidy and natural gas prices are relatively more effective for ensuring high energy security levels than CO2 taxes."
80,Agent-based modelling and flood risk management A compendious literature review,10.1016/j.jhydrol.2020.125600,https://openalex.org/W3089531068,2020,Journal of Hydrology,openalex,
81,Agent architecture of an intelligent medical system based on federated learning and blockchain technology,10.1016/j.jisa.2021.102748,https://openalex.org/W3127000387,2021,Journal of Information Security and Applications,openalex,
82,Attention based multi-agent intrusion detection systems using reinforcement learning,10.1016/j.jisa.2021.102923,https://openalex.org/W3184395191,2021,Journal of Information Security and Applications,openalex,
83,Quantitative easing with heterogeneous agents,10.1016/j.jmoneco.2021.07.007,https://openalex.org/W3192617523,2021,Journal of Monetary Economics,openalex,
84,A Knowledge-Based Multi-Agent Framework for Security Control Recommendation,10.1016/j.knosys.2026.116558,http://arxiv.org/abs/2607.09954v1,2026,arXiv,arxiv,"Hardening IT on-premises environments can be a daunting task for teams without access to adequate cybersecurity expertise. In this regard, Decision Support Systems (DSS) with embedded expert knowledge can assist users by guiding them with security recommendations to meet their objectives. This work proposes a Security DSS that recommends security control sub-families given minimal user requirements indicating coverage of different security dimensions. It leverages a curated, unified dataset from both well-known Information Security (InfoSec) and academic sources. This DSS is defined as a non-zero-sum, simultaneous game that is grounded in a Multi-Agent Influence Diagram (MAID) model and explores the decision space over 7 security dimensions or agents, using no-regret online learning to ultimately find the security control sub-families that best fit the requirements while incurring minimal under- and over-provisioning of security resources. This work was validated in terms of performance and accuracy, among others, for varying dataset sizes. It shows exceptional satisfaction coverage results of 99% when using as little as ~65% of the SW-implementable security controls, running in 1.2-35.7 seconds; and more moderate coverage results of 73%-77% when using ~29% of the controls, resolving in 0.8-13.8 seconds."
86,Security control of multi-agent systems under false data injection attacks,10.1016/j.neucom.2020.04.109,https://openalex.org/W3023119516,2020,Neurocomputing,openalex,
87,Adaptive event-triggered consensus control of linear multi-agent systems with cyber attacks,10.1016/j.neucom.2021.02.040,https://openalex.org/W3133785900,2021,Neurocomputing,openalex,
88,Finite-time consensus control for multi-agent systems with full-state constraints and actuator failures,10.1016/j.neunet.2022.10.028,https://openalex.org/W4308485034,2022,Neural Networks,openalex,
89,The cardiovascular effects of air pollution Prevention and reversal by pharmacological agents,10.1016/j.pharmthera.2021.107996,https://openalex.org/W3204177694,2021,Pharmacology & Therapeutics,openalex,"Air pollution is associated with staggering levels of cardiovascular morbidity and mortality. Airborne particulate matter (PM), in particular, has been associated with a wide range of detrimental cardiovascular effects, including impaired vascular function, raised blood pressure, alterations in cardiac rhythm, blood clotting disorders, coronary artery disease, and stroke. Considerable headway has been made in elucidating the biological processes underlying these associations, revealing a labyrinth of multiple interacting mechanistic pathways. Several studies have used pharmacological agents to prevent or reverse the cardiovascular effects of PM; an approach that not only has the advantages of elucidating mechanisms, but also potentially revealing therapeutic agents that could benefit individuals that are especially susceptible to the effects of air pollution. This review gathers investigations with pharmacological agents, offering insight into the biology of how PM, and other air pollutants, may cause cardiovascular morbidity."
